image,image_patch,mask_patch,label,fold,ela
Tp_D_NRD_M_N_arc20052_xxx00000_02478,55.png,55_gt.png,1,0,ela_55.png
Tp_D_NNN_M_N_art00034_nat00059_11871,6.png,6_gt.png,1,0,ela_6.png
Au_ani_30483,1.png,,0,0,
Au_arc_30575,0.png,,0,0,
Tp_S_NRN_S_N_ind20002_ind20002_01743,0.png,0_gt.png,1,0,ela_0.png
Tp_D_NRD_M_O_arc20060_arc20059_01700,9.png,9_gt.png,1,0,ela_9.png
Au_cha_30616,4.png,,0,0,
Tp_S_NNN_S_N_art00024_art00024_01211,7.png,7_gt.png,1,0,ela_7.png
Au_arc_30714,3.png,,0,0,
Au_arc_30369,1.png,,0,0,
Tp_D_NRD_S_B_art20007_arc20009_01813,23.png,23_gt.png,1,0,ela_23.png
Au_sec_00027,4.png,,0,0,
Tp_D_NRN_M_N_arc00010_nat00062_11176,7.png,7_gt.png,1,0,ela_7.png
Au_sec_30709,2.png,,0,0,
Tp_S_NRN_M_B_arc00082_arc00082_11521,5.png,5_gt.png,1,0,ela_5.png
Au_arc_30782,3.png,,0,0,
Tp_S_CNN_S_N_sec20079_sec20079_01669,1.png,1_gt.png,1,0,ela_1.png
Au_ani_00030,4.png,,0,0,
Tp_D_NNN_S_N_pla20032_pla20033_02386,10.png,10_gt.png,1,0,ela_10.png
Au_nat_30371,1.png,,0,0,
Au_ani_30424,0.png,,0,0,
Tp_S_CRN_M_N_ind00051_ind00051_10902,3.png,3_gt.png,1,0,ela_3.png
Au_arc_30337,1.png,,0,0,
Au_nat_30570,3.png,,0,0,
Tp_D_NNN_M_N_sec00061_nat00097_11264,13.png,13_gt.png,1,0,ela_13.png
Au_ani_30018,0.png,,0,0,
Au_pla_30615,0.png,,0,0,
Au_sec_00096,2.png,,0,0,
Au_arc_30387,2.png,,0,0,
Tp_S_CNN_M_N_txt00026_txt00026_10329,3.png,3_gt.png,1,0,ela_3.png
Au_arc_30492,1.png,,0,0,
Tp_S_CNN_S_N_txt00089_txt00089_00686,7.png,7_gt.png,1,0,ela_7.png
Au_pla_30230,1.png,,0,0,
Tp_S_CRN_S_N_cha10190_cha10190_12326,0.png,0_gt.png,1,0,ela_0.png
Au_arc_30771,0.png,,0,0,
Au_art_30108,1.png,,0,0,
Tp_D_NRD_S_B_nat20029_nat20012_02229,16.png,16_gt.png,1,0,ela_16.png
Au_sec_00094,3.png,,0,0,
Tp_D_NRN_S_N_sec00021_sec00007_10775,5.png,5_gt.png,1,0,ela_5.png
Au_pla_30527,3.png,,0,0,
Au_cha_30530,3.png,,0,0,
Tp_S_NRN_S_N_ind00006_ind00006_10417,0.png,0_gt.png,1,0,ela_0.png
Tp_D_NRN_M_N_cha00028_cha00026_11788,9.png,9_gt.png,1,0,ela_9.png
Au_arc_00070,2.png,,0,0,
Tp_S_NNN_S_N_ani00086_ani00086_11125,0.png,0_gt.png,1,0,ela_0.png
Au_arc_30178,3.png,,0,0,
Au_cha_00060,4.png,,0,0,
Au_pla_30233,2.png,,0,0,
Au_cha_30673,3.png,,0,0,
Au_pla_30322,3.png,,0,0,
Tp_S_NRN_S_B_art00039_art00039_01415,3.png,3_gt.png,1,0,ela_3.png
Au_ani_30259,0.png,,0,0,
Au_nat_30494,0.png,,0,0,
Tp_D_NRN_S_N_cha10134_pla00020_12202,0.png,0_gt.png,1,0,ela_0.png
Au_sec_30653,2.png,,0,0,
Au_ind_30128,0.png,,0,0,
Tp_S_NNN_S_B_ind00083_ind00083_01367,1.png,1_gt.png,1,0,ela_1.png
Tp_D_NRD_M_B_arc20061_xxx00000_02481,23.png,23_gt.png,1,0,ela_23.png
Tp_D_NNN_M_B_art00052_nat00059_11847,9.png,9_gt.png,1,0,ela_9.png
Tp_S_NRN_S_N_sec20081_sec20081_01671,2.png,2_gt.png,1,0,ela_2.png
Tp_D_NRN_M_N_nat00095_nat00083_10080,0.png,0_gt.png,1,0,ela_0.png
Au_cha_30551,3.png,,0,0,
Au_nat_30568,4.png,,0,0,
Au_ani_20025,0.png,,0,0,
Au_cha_10196,2.png,,0,0,
Au_cha_00005,3.png,,0,0,
Au_nat_30340,4.png,,0,0,
Au_arc_30756,0.png,,0,0,
Au_cha_30144,1.png,,0,0,
Tp_D_NRN_M_N_nat10167_cha00070_12103,14.png,14_gt.png,1,0,ela_14.png
Tp_S_CNN_M_N_nat00055_nat00055_10926,6.png,6_gt.png,1,0,ela_6.png
Tp_D_NRN_M_N_txt10112_nat10103_10111,30.png,30_gt.png,1,0,ela_30.png
Tp_S_NRN_M_N_cha00033_cha00033_11015,13.png,13_gt.png,1,0,ela_13.png
Tp_D_NRN_M_N_nat00040_nat00013_11073,0.png,0_gt.png,1,0,ela_0.png
Au_nat_30589,3.png,,0,0,
Tp_S_CNN_S_N_nat00053_nat00053_00663,1.png,1_gt.png,1,0,ela_1.png
Au_arc_30534,0.png,,0,0,
Tp_S_CNN_M_N_pla00090_pla00090_10605,11.png,11_gt.png,1,0,ela_11.png
Au_cha_30184,2.png,,0,0,
Au_art_10110,1.png,,0,0,
Au_pla_30552,1.png,,0,0,
Au_nat_30679,3.png,,0,0,
Au_cha_10169,3.png,,0,0,
Tp_D_NRN_M_N_sec00007_sec00004_10033,4.png,4_gt.png,1,0,ela_4.png
Au_ani_30761,0.png,,0,0,
Tp_S_NRD_S_B_ani00027_ani00027_00147,1.png,1_gt.png,1,0,ela_1.png
Tp_S_NNN_M_N_arc00002_arc00002_11186,6.png,6_gt.png,1,0,ela_6.png
Tp_S_CNN_M_N_pla00080_pla00080_10458,0.png,0_gt.png,1,0,ela_0.png
Au_art_30320,0.png,,0,0,
Au_txt_00035,2.png,,0,0,
Au_cha_30110,0.png,,0,0,
Au_cha_10149,2.png,,0,0,
Tp_S_NRN_S_N_pla20099_pla20099_01999,2.png,2_gt.png,1,0,ela_2.png
Tp_D_NRN_M_O_ani00097_ani00036_10039,0.png,0_gt.png,1,0,ela_0.png
Tp_D_NRN_M_N_sec00064_cha00070_11408,3.png,3_gt.png,1,0,ela_3.png
Au_nat_10159,0.png,,0,0,
Tp_D_NRN_M_N_nat10116_cha00070_11372,2.png,2_gt.png,1,0,ela_2.png
Au_nat_30586,1.png,,0,0,
Tp_D_NRN_M_N_sec00007_sec00004_10033,2.png,2_gt.png,1,0,ela_2.png
Tp_D_NRN_M_N_nat10150_nat00013_12031,6.png,6_gt.png,1,0,ela_6.png
Au_sec_20017,1.png,,0,0,
Au_pla_00076,3.png,,0,0,
Tp_D_NRD_S_B_arc20100_xxx00000_02185,17.png,17_gt.png,1,0,ela_17.png
Au_ani_30572,2.png,,0,0,
Tp_S_NRN_S_N_sec20019_sec20019_01609,0.png,0_gt.png,1,0,ela_0.png
Au_pla_30072,2.png,,0,0,
Tp_D_NNN_M_O_sec20056_sec20042_01646,1.png,1_gt.png,1,0,ela_1.png
Au_ani_30326,2.png,,0,0,
Au_ani_10148,1.png,,0,0,
Au_arc_30595,3.png,,0,0,
Tp_S_CNN_M_N_art00077_art00077_10288,8.png,8_gt.png,1,0,ela_8.png
Au_sec_30598,2.png,,0,0,
Tp_D_NNN_M_N_txt00068_txt00065_10123,3.png,3_gt.png,1,0,ela_3.png
Tp_D_NRD_M_O_sec20091_sec20085_01681,12.png,12_gt.png,1,0,ela_12.png
Tp_D_NRN_M_B_pla00030_cha00029_20108,8.png,8_gt.png,1,0,ela_8.png
Au_cha_30213,4.png,,0,0,
Au_ani_30586,0.png,,0,0,
Tp_D_CRN_M_N_arc00073_arc00072_10267,0.png,0_gt.png,1,0,ela_0.png
Tp_D_NNN_S_O_nat10148_nat10161_12120,0.png,0_gt.png,1,0,ela_0.png
Tp_S_NNN_S_N_pla20095_pla20095_02347,16.png,16_gt.png,1,0,ela_16.png
Tp_D_NRN_M_B_cha10162_nat10142_12254,23.png,23_gt.png,1,0,ela_23.png
Tp_S_NNN_S_N_art00076_art00076_00530,2.png,2_gt.png,1,0,ela_2.png
Tp_D_NRD_M_B_arc20061_xxx00000_02481,41.png,41_gt.png,1,0,ela_41.png
Tp_S_NNN_S_B_txt00015_txt00015_20066,4.png,4_gt.png,1,0,ela_4.png
Tp_D_NNN_M_N_cha10168_cha10140_12301,16.png,16_gt.png,1,0,ela_16.png
Tp_D_NRN_S_N_ani00033_ani00034_10236,0.png,0_gt.png,1,0,ela_0.png
Au_nat_30418,0.png,,0,0,
Au_nat_20056,3.png,,0,0,
Au_ani_30660,2.png,,0,0,
Au_art_30621,3.png,,0,0,
Au_arc_30167,1.png,,0,0,
Tp_D_NRN_M_B_nat00088_nat00099_11111,0.png,0_gt.png,1,0,ela_0.png
Au_ind_00039,1.png,,0,0,
Au_ani_10102,0.png,,0,0,
Tp_S_NND_S_N_sec20039_sec20039_01629,0.png,0_gt.png,1,0,ela_0.png
Au_arc_30724,2.png,,0,0,
Au_cha_30636,3.png,,0,0,
Au_nat_30587,0.png,,0,0,
Au_pla_00008,4.png,,0,0,
Tp_S_NRN_S_B_art10008_art10008_20049,2.png,2_gt.png,1,0,ela_2.png
Tp_D_NRN_M_N_cha00050_cha00028_11786,19.png,19_gt.png,1,0,ela_19.png
Tp_S_NRN_S_N_ind20032_ind20032_01773,0.png,0_gt.png,1,0,ela_0.png
Tp_D_NRN_M_N_art00034_nat00095_11870,10.png,10_gt.png,1,0,ela_10.png
Au_nat_30137,1.png,,0,0,
Tp_S_CNN_M_N_sec00047_sec00047_10585,11.png,11_gt.png,1,0,ela_11.png
Tp_S_NNN_S_N_sec00069_sec00069_00728,1.png,1_gt.png,1,0,ela_1.png
Tp_D_NNN_M_N_pla10110_nat10103_10116,2.png,2_gt.png,1,0,ela_2.png
Au_arc_30096,0.png,,0,0,
Au_ani_30558,3.png,,0,0,
Au_art_30234,2.png,,0,0,
Tp_S_NNN_S_N_ani00077_ani00077_00197,2.png,2_gt.png,1,0,ela_2.png
Tp_S_NRN_M_N_arc00056_arc00056_10393,3.png,3_gt.png,1,0,ela_3.png
Au_arc_30831,0.png,,0,0,
Au_cha_30174,4.png,,0,0,
Au_cha_30477,4.png,,0,0,
Tp_D_NRN_M_N_nat10142_arc00069_11962,4.png,4_gt.png,1,0,ela_4.png
Au_art_30619,0.png,,0,0,
Au_cha_30481,0.png,,0,0,
Au_nat_30519,1.png,,0,0,
Tp_S_NNN_S_N_sec00008_sec00008_00028,1.png,1_gt.png,1,0,ela_1.png
Au_art_30309,4.png,,0,0,
Au_ani_30277,1.png,,0,0,
Tp_S_NNN_S_N_art00035_art00035_00513,1.png,1_gt.png,1,0,ela_1.png
Au_cha_30051,3.png,,0,0,
Au_art_30637,0.png,,0,0,
Au_arc_10119,1.png,,0,0,
Tp_D_NNN_M_N_sec00036_nat00095_00057,12.png,12_gt.png,1,0,ela_12.png
Au_ani_30716,2.png,,0,0,
Tp_D_NRN_M_N_pla10117_pla10118_10583,27.png,27_gt.png,1,0,ela_27.png
Tp_S_NRN_S_N_art20092_art20092_01898,1.png,1_gt.png,1,0,ela_1.png
Au_ani_30610,3.png,,0,0,
Au_ani_30679,4.png,,0,0,
Tp_D_NNN_S_O_sec20018_sec20023_01608,15.png,15_gt.png,1,0,ela_15.png
Tp_D_NRN_S_N_sec00021_sec00007_10775,16.png,16_gt.png,1,0,ela_16.png
Tp_D_NRN_S_N_art00023_ani00058_00505,0.png,0_gt.png,1,0,ela_0.png
Tp_S_NND_S_N_pla20062_pla20062_02370,3.png,3_gt.png,1,0,ela_3.png
Tp_S_NNN_S_N_arc20017_arc20017_01470,0.png,0_gt.png,1,0,ela_0.png
Tp_D_NRN_M_N_art00052_art00098_10181,15.png,15_gt.png,1,0,ela_15.png
Tp_D_NNN_M_N_nat00075_nat00097_11100,2.png,2_gt.png,1,0,ela_2.png
Au_ind_30161,0.png,,0,0,
Au_arc_00018,3.png,,0,0,
Au_ani_30628,4.png,,0,0,
Tp_D_CRN_S_N_cha00071_art00092_11783,1.png,1_gt.png,1,0,ela_1.png
Au_sec_30043,3.png,,0,0,
Au_art_30345,1.png,,0,0,
Au_sec_30692,3.png,,0,0,
Au_cha_10104,0.png,,0,0,
Tp_S_CRN_M_N_arc00036_arc00036_10088,3.png,3_gt.png,1,0,ela_3.png
Tp_D_NRN_M_B_ani10114_ani00100_11637,5.png,5_gt.png,1,0,ela_5.png
Tp_D_NRN_M_N_nat10161_nat10148_12119,8.png,8_gt.png,1,0,ela_8.png
Au_arc_30166,1.png,,0,0,
Tp_S_CRD_S_B_txt00020_txt00020_20024,9.png,9_gt.png,1,0,ela_9.png
Au_sec_30250,0.png,,0,0,
Au_cha_10139,4.png,,0,0,
Tp_D_NRN_M_B_cha10162_nat10142_12254,10.png,10_gt.png,1,0,ela_10.png
Tp_D_NRD_L_B_arc00028_ani00001_00248,7.png,7_gt.png,1,0,ela_7.png
Tp_S_NRN_S_N_art00002_art00002_00919,0.png,0_gt.png,1,0,ela_0.png
Tp_S_CNN_M_N_arc00067_arc00067_10249,1.png,1_gt.png,1,0,ela_1.png
Au_cha_30200,4.png,,0,0,
Au_pla_00081,2.png,,0,0,
Tp_D_NNN_M_N_txt00060_txt00061_10186,14.png,14_gt.png,1,0,ela_14.png
Tp_D_CNN_M_B_nat10139_nat00097_11948,25.png,25_gt.png,1,0,ela_25.png
Au_sec_30518,0.png,,0,0,
Au_pla_30100,1.png,,0,0,
Tp_S_CRN_M_N_cha00017_cha00017_10312,4.png,4_gt.png,1,0,ela_4.png
Au_ani_10140,4.png,,0,0,
Tp_S_NNN_S_N_pla00005_pla00005_00545,3.png,3_gt.png,1,0,ela_3.png
Au_ani_30526,0.png,,0,0,
Au_arc_00044,2.png,,0,0,
Au_sec_30458,0.png,,0,0,
Tp_S_CRD_S_B_txt00020_txt00020_20024,2.png,2_gt.png,1,0,ela_2.png
Tp_S_NNN_N_N_art10015_art10015_20099,1.png,1_gt.png,1,0,ela_1.png
Tp_S_NNN_S_N_pla20056_pla20056_02375,1.png,1_gt.png,1,0,ela_1.png
Au_txt_00078,1.png,,0,0,
Au_art_20091,0.png,,0,0,
Tp_D_NNN_M_N_nat10165_nat10169_12112,16.png,16_gt.png,1,0,ela_16.png
Au_sec_30157,0.png,,0,0,
Au_sec_30528,0.png,,0,0,
Au_cha_30678,0.png,,0,0,
Tp_S_NND_S_N_ani20035_ani20035_02442,1.png,1_gt.png,1,0,ela_1.png
Tp_D_NNN_S_N_ani10200_ani10199_12409,1.png,1_gt.png,1,0,ela_1.png
Tp_S_NNN_S_N_sec00072_sec00072_10385,1.png,1_gt.png,1,0,ela_1.png
Au_sec_30077,2.png,,0,0,
Tp_S_NNN_S_N_sec20040_sec20040_01630,3.png,3_gt.png,1,0,ela_3.png
Au_pla_30016,1.png,,0,0,
Au_arc_30069,4.png,,0,0,
Au_cha_30193,4.png,,0,0,
Tp_D_NRD_M_N_art00098_art00077_11711,13.png,13_gt.png,1,0,ela_13.png
Tp_S_CNN_M_N_pla00076_pla00076_10622,2.png,2_gt.png,1,0,ela_2.png
Tp_D_NRN_S_N_sec00071_art00064_00706,2.png,2_gt.png,1,0,ela_2.png
Au_nat_30142,0.png,,0,0,
Au_pla_30401,3.png,,0,0,
Au_pla_30185,3.png,,0,0,
Au_pla_30430,0.png,,0,0,
Tp_S_NNN_S_N_arc20003_arc20003_02466,2.png,2_gt.png,1,0,ela_2.png
Tp_S_CNN_S_N_sec00087_sec00087_10362,1.png,1_gt.png,1,0,ela_1.png
Au_sec_30465,1.png,,0,0,
Tp_D_NRN_S_O_nat10156_ani00036_12019,0.png,0_gt.png,1,0,ela_0.png
Au_ani_10155,3.png,,0,0,
Tp_D_NNN_M_N_txt00062_txt00061_10185,24.png,24_gt.png,1,0,ela_24.png
Au_art_30188,4.png,,0,0,
Au_cha_30516,0.png,,0,0,
Au_pla_30153,4.png,,0,0,
Tp_S_CNN_M_N_txt10110_txt10110_10862,3.png,3_gt.png,1,0,ela_3.png
Tp_S_CRN_S_N_ani10221_ani10221_12393,1.png,1_gt.png,1,0,ela_1.png
Tp_D_NNN_S_N_arc20042_arc20039_01495,1.png,1_gt.png,1,0,ela_1.png
Au_cha_30424,2.png,,0,0,
Au_nat_20019,3.png,,0,0,
Tp_S_NNN_S_N_cha20026_cha20026_02025,1.png,1_gt.png,1,0,ela_1.png
Tp_S_NNN_S_N_sec20045_sec20045_01635,0.png,0_gt.png,1,0,ela_0.png
Au_pla_30195,2.png,,0,0,
Au_cha_20040,1.png,,0,0,
Tp_D_NRN_M_N_nat10160_nat00059_12067,4.png,4_gt.png,1,0,ela_4.png
Tp_D_NRD_S_B_cha20044_nat20042_02432,38.png,38_gt.png,1,0,ela_38.png
Au_pla_20027,0.png,,0,0,
Tp_S_NRN_M_N_art00093_art00093_10485,4.png,4_gt.png,1,0,ela_4.png
Tp_D_CRD_S_O_ani10103_ani10111_10637,6.png,6_gt.png,1,0,ela_6.png
Tp_S_CRD_S_N_arc00085_arc00085_00305,3.png,3_gt.png,1,0,ela_3.png
Au_arc_30029,0.png,,0,0,
Tp_D_NRN_M_B_cha10111_cha10113_11545,1.png,1_gt.png,1,0,ela_1.png
Au_nat_30618,1.png,,0,0,
Au_sec_20053,1.png,,0,0,
Tp_S_NNN_S_N_pla00048_pla00048_00583,0.png,0_gt.png,1,0,ela_0.png
Au_ani_10126,2.png,,0,0,
Au_art_30235,4.png,,0,0,
Tp_S_CNN_M_N_art00048_art00048_10258,1.png,1_gt.png,1,0,ela_1.png
Au_nat_30187,4.png,,0,0,
Au_ani_10198,0.png,,0,0,
Au_sec_30194,1.png,,0,0,
Au_art_20028,1.png,,0,0,
Au_pla_30477,4.png,,0,0,
Tp_D_NRN_M_B_ind00053_cha00062_11379,0.png,0_gt.png,1,0,ela_0.png
Au_art_20042,0.png,,0,0,
Tp_D_NRN_M_B_nat10148_nat10160_12123,21.png,21_gt.png,1,0,ela_21.png
Tp_D_NRN_M_N_ind10104_cha10110_11553,1.png,1_gt.png,1,0,ela_1.png
Tp_D_CRN_S_N_sec00072_cha00026_00093,7.png,7_gt.png,1,0,ela_7.png
Tp_D_CND_M_N_art00077_art00076_10290,1.png,1_gt.png,1,0,ela_1.png
Au_art_30044,4.png,,0,0,
Tp_D_NNN_S_N_sec10113_sec10106_10331,20.png,20_gt.png,1,0,ela_20.png
Tp_D_NRN_S_B_ani00093_ani00021_00213,16.png,16_gt.png,1,0,ela_16.png
Au_cha_30494,4.png,,0,0,
Au_pla_30347,1.png,,0,0,
Tp_D_NNN_S_N_ani10193_ani10195_12442,0.png,0_gt.png,1,0,ela_0.png
Au_arc_30676,2.png,,0,0,
Au_arc_30266,3.png,,0,0,
Tp_S_NNN_S_B_arc00022_arc00022_20078,0.png,0_gt.png,1,0,ela_0.png
Tp_S_NRN_M_N_cha00033_cha00033_11015,12.png,12_gt.png,1,0,ela_12.png
Au_ani_30118,3.png,,0,0,
Au_pla_00068,1.png,,0,0,
Tp_S_CNN_M_N_sec00086_sec00086_10360,2.png,2_gt.png,1,0,ela_2.png
Au_ind_00087,2.png,,0,0,
Tp_S_CNN_M_N_pla00076_pla00076_10622,13.png,13_gt.png,1,0,ela_13.png
Tp_S_CNN_S_N_arc00067_arc00067_10251,3.png,3_gt.png,1,0,ela_3.png
Au_arc_30656,1.png,,0,0,
Au_art_10111,1.png,,0,0,
Tp_D_NNN_S_N_art00037_cha00040_01417,11.png,11_gt.png,1,0,ela_11.png
Tp_D_NNN_M_N_sec00041_nat00099_10512,17.png,17_gt.png,1,0,ela_17.png
Tp_D_NRN_S_N_nat00033_ani00005_11506,0.png,0_gt.png,1,0,ela_0.png
Au_nat_30378,3.png,,0,0,
Tp_D_NRN_M_N_arc00096_nat00013_11800,12.png,12_gt.png,1,0,ela_12.png
Au_cha_30268,3.png,,0,0,
Tp_D_NRN_M_N_art00049_nat00059_11759,3.png,3_gt.png,1,0,ela_3.png
Tp_D_CRN_M_N_cha10166_nat10123_12273,0.png,0_gt.png,1,0,ela_0.png
Au_sec_30011,0.png,,0,0,
Au_arc_30060,2.png,,0,0,
Tp_S_NNN_M_N_sec00040_sec00040_10490,19.png,19_gt.png,1,0,ela_19.png
Tp_D_NRD_S_B_arc20100_xxx00000_02185,6.png,6_gt.png,1,0,ela_6.png
Au_art_30005,4.png,,0,0,
Au_art_00064,4.png,,0,0,
Au_cha_30142,2.png,,0,0,
Au_art_30649,1.png,,0,0,
Au_pla_30226,0.png,,0,0,
Au_sec_30602,2.png,,0,0,
Tp_D_NND_L_N_ani00070_nat00099_10503,12.png,12_gt.png,1,0,ela_12.png
Tp_S_NNN_S_N_arc20089_arc20089_01729,1.png,1_gt.png,1,0,ela_1.png
Tp_D_NRN_M_N_sec00087_cha00070_11469,3.png,3_gt.png,1,0,ela_3.png
Au_arc_00019,0.png,,0,0,
Au_txt_30029,4.png,,0,0,
Tp_S_CNN_S_N_pla00046_pla00046_00581,8.png,8_gt.png,1,0,ela_8.png
Au_nat_30483,4.png,,0,0,
Tp_S_CNN_M_N_nat00066_nat00066_10569,4.png,4_gt.png,1,0,ela_4.png
Au_sec_20003,4.png,,0,0,
Au_arc_10103,4.png,,0,0,
Au_nat_30430,0.png,,0,0,
Au_art_20019,3.png,,0,0,
Au_ani_00008,3.png,,0,0,
Au_nat_30107,3.png,,0,0,
Tp_S_NNN_M_N_art00043_art00043_10542,0.png,0_gt.png,1,0,ela_0.png
Au_pla_30009,4.png,,0,0,
Tp_S_NND_M_B_arc10125_arc10125_11888,31.png,31_gt.png,1,0,ela_31.png
Au_pla_30271,3.png,,0,0,
Tp_D_NRN_M_N_nat00095_nat00083_10080,4.png,4_gt.png,1,0,ela_4.png
Au_nat_30310,3.png,,0,0,
Au_cha_30486,4.png,,0,0,
Tp_S_NNN_S_N_art10010_art10010_20093,2.png,2_gt.png,1,0,ela_2.png
Au_sec_30595,0.png,,0,0,
Au_nat_30049,3.png,,0,0,
Tp_D_NRN_M_N_nat10147_nat10124_11999,12.png,12_gt.png,1,0,ela_12.png
Au_pla_00067,2.png,,0,0,
Tp_D_NRN_M_N_arc10130_arc10125_11899,18.png,18_gt.png,1,0,ela_18.png
Tp_D_NRN_M_N_ani00095_ani00096_11135,16.png,16_gt.png,1,0,ela_16.png
Au_arc_30713,1.png,,0,0,
Au_sec_30338,2.png,,0,0,
Tp_D_NRN_M_B_nat00038_cha00072_11459,2.png,2_gt.png,1,0,ela_2.png
Au_nat_30223,1.png,,0,0,
Tp_D_CRN_M_N_art00067_ani00095_11803,12.png,12_gt.png,1,0,ela_12.png
Au_art_30672,0.png,,0,0,
Au_arc_30252,3.png,,0,0,
Tp_D_NNN_M_N_arc00069_nat00097_11207,3.png,3_gt.png,1,0,ela_3.png
