image,image_patch,mask_patch,label,fold,ela,root_dir
ackniculous_48165844797,10.jpg,,0,0,10_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
ixmatex_22826519791,17.jpg,,0,0,17_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
c98jqgu_0,2.jpg,2_gt.jpg,1,0,2_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
c9b6d4b_0,19.jpg,19_gt.jpg,1,0,19_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
c994oht_0,44.jpg,44_gt.jpg,1,0,44_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
gottabe_168554604,6.jpg,,0,0,6_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
c9chzux_0,77.jpg,77_gt.jpg,1,0,77_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
43555660@N00_8202830825,0.jpg,,0,0,0_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
89266648@N07_8128251990,7.jpg,,0,0,7_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
davereynolds1_14214178499,7.jpg,,0,0,7_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
1c2uxu_orig,23.jpg,,0,0,23_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
c94nt6e_0,3.jpg,3_gt.jpg,1,0,3_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
cvpy513-14_14550024052,2.jpg,,0,0,2_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
adcolin_8376900784,34.jpg,,0,0,34_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
discoverwaikumetecemetery_29887465770,26.jpg,,0,0,26_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
c972p3n_0,76.jpg,76_gt.jpg,1,0,76_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
lupomania_6934130662,3.jpg,,0,0,3_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
7119320@N05_47939169113,7.jpg,,0,0,7_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
c9chzux_0,73.jpg,73_gt.jpg,1,0,73_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
euthman_4656122739,26.jpg,,0,0,26_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
el_tortugo_3135416843,4.jpg,,0,0,4_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
24923587@N06_3474490054,42.jpg,,0,0,42_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
toniher_2098668005,17.jpg,,0,0,17_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
zengame_34170781882,8.jpg,,0,0,8_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
c9f8vaj_0,2.jpg,2_gt.jpg,1,0,2_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
29638108@N06_29827244838,4.jpg,,0,0,4_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
box_repsol_48852118026,18.jpg,,0,0,18_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
c972p3n_0,9.jpg,9_gt.jpg,1,0,9_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
1at8em_orig,24.jpg,,0,0,24_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
rollercoasterphilosophy_4703451547,35.jpg,,0,0,35_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
1bl55t_orig,2.jpg,,0,0,2_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
gmaximo_5392538893,3.jpg,,0,0,3_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
c9d1bek_0,8.jpg,8_gt.jpg,1,0,8_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
mrdoctor_49680019038,37.jpg,,0,0,37_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
matsukin_278271599,1.jpg,,0,0,1_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
1ahtfm_orig,4.jpg,,0,0,4_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
c99ae5w_0,11.jpg,11_gt.jpg,1,0,11_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
100959748@N04_9663686382,1.jpg,,0,0,1_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
57497366@N08_5289010481,16.jpg,,0,0,16_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
c90q79y_0,29.jpg,29_gt.jpg,1,0,29_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
larrywkoester_45378503565,18.jpg,,0,0,18_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
156424554@N08_48902910238,16.jpg,,0,0,16_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
visavis_33263096951,16.jpg,,0,0,16_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
c95occz_0,43.jpg,43_gt.jpg,1,0,43_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
c94scmh_0,0.jpg,0_gt.jpg,1,0,0_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
c8u0wl4_0,7.jpg,7_gt.jpg,1,0,7_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
1cdvuj_orig,16.jpg,,0,0,16_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
edenpictures_49560975942,40.jpg,,0,0,40_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
zengame_34170781882,0.jpg,,0,0,0_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
c9e3pq0_0,13.jpg,13_gt.jpg,1,0,13_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
c96cbvq_0,8.jpg,8_gt.jpg,1,0,8_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
83310420@N05_39957963443,3.jpg,,0,0,3_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
1bax4h_orig,1.jpg,,0,0,1_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
jackskellington101_42119469,0.jpg,,0,0,0_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
bluviolin_1576387684,10.jpg,,0,0,10_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
c9chzux_0,49.jpg,49_gt.jpg,1,0,49_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
daquellamanera_14599803483,14.jpg,,0,0,14_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
1ay6i0_orig,22.jpg,,0,0,22_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
michael-speer_2133986914,7.jpg,,0,0,7_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
david_a_lea_5049522712,17.jpg,,0,0,17_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
aijoskobi_6332683273,14.jpg,,0,0,14_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
c9b0mve_0,11.jpg,11_gt.jpg,1,0,11_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
forthefunofit_9083646895,14.jpg,,0,0,14_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
154921550@N02_39369043924,12.jpg,,0,0,12_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
c9gfnnb_0,70.jpg,70_gt.jpg,1,0,70_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
1bq750_orig,10.jpg,,0,0,10_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
1bajww_orig,122.jpg,,0,0,122_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
33671002@N00_8191169199,2.jpg,,0,0,2_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
worldbank_48925553796,11.jpg,,0,0,11_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
skypictures_22562248976,1.jpg,,0,0,1_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
1cdvuj_orig,49.jpg,,0,0,49_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
budda_5982258045,4.jpg,,0,0,4_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
1a9l4s_orig,11.jpg,,0,0,11_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
hmisu_8812612603,5.jpg,,0,0,5_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
c94q3kl_0,152.jpg,152_gt.jpg,1,0,152_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
rainboweyes_2152357658,1.jpg,,0,0,1_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
villefi_40338312271,1.jpg,,0,0,1_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
35777972@N02_29396201972,17.jpg,,0,0,17_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
moccasinlanding_25306854213,34.jpg,,0,0,34_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
c9g3oqm_0,3.jpg,3_gt.jpg,1,0,3_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
c94ol6h_0,13.jpg,13_gt.jpg,1,0,13_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
c9gck87_0,26.jpg,26_gt.jpg,1,0,26_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
eliazar_195757157,5.jpg,,0,0,5_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
giulianobg_16113748784,38.jpg,,0,0,38_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
1b7ua0_orig,62.jpg,,0,0,62_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
lucasartoni_49267856386,20.jpg,,0,0,20_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
c9biybz_0,22.jpg,22_gt.jpg,1,0,22_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
2eklectik_3460552507,19.jpg,,0,0,19_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
ingolauer_50086653853,8.jpg,,0,0,8_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
1agt1r_orig,22.jpg,,0,0,22_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
c9cufxm_0,40.jpg,40_gt.jpg,1,0,40_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
63010504@N04_7580654028,5.jpg,,0,0,5_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
57873672@N07_14627459370,3.jpg,,0,0,3_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
shoppingdiva_8291639965,9.jpg,,0,0,9_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
c8v3tc5_0,2.jpg,2_gt.jpg,1,0,2_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
esdrasbeleza_44948786592,16.jpg,,0,0,16_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
c99xlov_0,18.jpg,18_gt.jpg,1,0,18_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
c9chzux_0,51.jpg,51_gt.jpg,1,0,51_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
youes72_46367093485,14.jpg,,0,0,14_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
1bircs_orig,26.jpg,,0,0,26_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
c9flfa0_0,64.jpg,64_gt.jpg,1,0,64_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
c91s2tg_0,44.jpg,44_gt.jpg,1,0,44_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
acfolca_22965052373,4.jpg,,0,0,4_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
c9c4juu_0,16.jpg,16_gt.jpg,1,0,16_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
154921550@N02_26205961588,1.jpg,,0,0,1_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
57497366@N08_5289010481,6.jpg,,0,0,6_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
jenlen_291746494,0.jpg,,0,0,0_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
1c03j4_orig,11.jpg,,0,0,11_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
1bs5ew_orig,3.jpg,,0,0,3_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
educationinternational_2919106548,6.jpg,,0,0,6_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
visualart_jason_50035511748,36.jpg,,0,0,36_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
vexrobotics_27156939071,21.jpg,,0,0,21_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
ooocha_3060727274,11.jpg,,0,0,11_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
c97l4h2_0,2.jpg,2_gt.jpg,1,0,2_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
ooocha_3069269639,15.jpg,,0,0,15_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
62039795@N02_5777779309,24.jpg,,0,0,24_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
jackskellington101_42116723,3.jpg,,0,0,3_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
c9cpohz_0,9.jpg,9_gt.jpg,1,0,9_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
giulianobg_16113748784,34.jpg,,0,0,34_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
rosshawkes_5529567247,36.jpg,,0,0,36_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
c8ttni9_0,19.jpg,19_gt.jpg,1,0,19_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
mededeler_35715140924,32.jpg,,0,0,32_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
anthonares_87632480,19.jpg,,0,0,19_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
pennwic_16680360844,12.jpg,,0,0,12_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
137165360@N08_27774540314,0.jpg,,0,0,0_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
1bp14r_orig,1.jpg,,0,0,1_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
eksrx_14983188460,13.jpg,,0,0,13_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
c9gn0vx_0,52.jpg,52_gt.jpg,1,0,52_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
c9flfa0_0,17.jpg,17_gt.jpg,1,0,17_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
1c2uxu_orig,8.jpg,,0,0,8_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
c99wbld_0,1.jpg,1_gt.jpg,1,0,1_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
c90d9fr_0,77.jpg,77_gt.jpg,1,0,77_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
marufish_2669343637,6.jpg,,0,0,6_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
c9d9e1a_0,4.jpg,4_gt.jpg,1,0,4_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
mrdoctor_49680385691,18.jpg,,0,0,18_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
philliecasablanca_2052685828,11.jpg,,0,0,11_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
59268554@N05_14037262639,25.jpg,,0,0,25_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
c95fx63_0,2.jpg,2_gt.jpg,1,0,2_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
scknight_217230304,2.jpg,,0,0,2_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
c9b6d4b_0,14.jpg,14_gt.jpg,1,0,14_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
1bq750_orig,35.jpg,,0,0,35_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
stampest_3824044621,6.jpg,,0,0,6_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
rikkis_refuge_3510913400,19.jpg,,0,0,19_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
c9fo87w_0,84.jpg,84_gt.jpg,1,0,84_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
c8wcodr_0,20.jpg,20_gt.jpg,1,0,20_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
jimmyyyy1992_6677727629,43.jpg,,0,0,43_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
c9ct2jr_0,25.jpg,25_gt.jpg,1,0,25_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
syobosyobo_1011803810,24.jpg,,0,0,24_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
doctorow_2140917,1.jpg,,0,0,1_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
rurinoshima_5539900736,19.jpg,,0,0,19_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
ingolauer_50087237191,28.jpg,,0,0,28_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
eltham_mob_49206145062,43.jpg,,0,0,43_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
c94s6nu_0,10.jpg,10_gt.jpg,1,0,10_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
141644934@N03_27368049281,3.jpg,,0,0,3_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
c9cnjtp_0,24.jpg,24_gt.jpg,1,0,24_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
c8z1qqq_0,0.jpg,0_gt.jpg,1,0,0_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
c9gck87_0,34.jpg,34_gt.jpg,1,0,34_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
worldbank_17378902579,6.jpg,,0,0,6_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
crawlem_3464039714,9.jpg,,0,0,9_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
c95ugiv_0,3.jpg,3_gt.jpg,1,0,3_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
115589266@N06_26013542773,10.jpg,,0,0,10_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
cerezas_3512333965,17.jpg,,0,0,17_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
eksrx_14631382766,28.jpg,,0,0,28_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
free_man_88901664,32.jpg,,0,0,32_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
c92ansy_0,45.jpg,45_gt.jpg,1,0,45_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
c9471hz_0,29.jpg,29_gt.jpg,1,0,29_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
c8venih_0,1.jpg,1_gt.jpg,1,0,1_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
biscotte_524726108,5.jpg,,0,0,5_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
42542768@N00_337137660,0.jpg,,0,0,0_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
c8zv3tl_0,1.jpg,1_gt.jpg,1,0,1_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
1aeqsl_orig,11.jpg,,0,0,11_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
shearings_11855264163,30.jpg,,0,0,30_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
daquellamanera_22876674426,7.jpg,,0,0,7_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
c9coynw_0,5.jpg,5_gt.jpg,1,0,5_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
bbcworldservice_3530049563,1.jpg,,0,0,1_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
c94q3kl_0,157.jpg,157_gt.jpg,1,0,157_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
tamago-moffle_4874127805,5.jpg,,0,0,5_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
hobie-kayak-europe_15354762109,16.jpg,,0,0,16_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
c8zsnr4_0,1.jpg,1_gt.jpg,1,0,1_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
31274959@N08_14558163495,45.jpg,,0,0,45_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
c92ebc2_0,58.jpg,58_gt.jpg,1,0,58_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
c8tx1h1_0,20.jpg,20_gt.jpg,1,0,20_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
c9flfa0_0,70.jpg,70_gt.jpg,1,0,70_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
iyfphoto_7458055046,3.jpg,,0,0,3_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
c9acbml_0,6.jpg,6_gt.jpg,1,0,6_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
cavernecanyon_48130974068,8.jpg,,0,0,8_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
falconsdebarcelona_9329918728,19.jpg,,0,0,19_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
c95woiz_0,37.jpg,37_gt.jpg,1,0,37_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
c91o8wl_0,9.jpg,9_gt.jpg,1,0,9_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
c9cate8_0,12.jpg,12_gt.jpg,1,0,12_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
c9cml58_0,42.jpg,42_gt.jpg,1,0,42_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
c8z0zg4_0,7.jpg,7_gt.jpg,1,0,7_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
c9chzty_0,8.jpg,8_gt.jpg,1,0,8_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
ldskater_1049043063,19.jpg,,0,0,19_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
160578178@N03_27320481228,10.jpg,,0,0,10_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
c92ebc2_0,22.jpg,22_gt.jpg,1,0,22_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
c9flfa0_0,30.jpg,30_gt.jpg,1,0,30_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
fdrca_224570917,5.jpg,,0,0,5_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
c8ttni9_0,10.jpg,10_gt.jpg,1,0,10_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
1bbmcy_orig,77.jpg,,0,0,77_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
147507627@N08_32324450693,0.jpg,,0,0,0_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
1as3ai_orig,13.jpg,,0,0,13_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
keroleensboy_8725390493,6.jpg,,0,0,6_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
c92dfhw_0,25.jpg,25_gt.jpg,1,0,25_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
1a3oag_orig,4.jpg,,0,0,4_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
anitagould_46610820725,7.jpg,,0,0,7_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
1b9voq_orig,8.jpg,,0,0,8_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
hess_training_6954727547,21.jpg,,0,0,21_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
eksrx_14651116821,17.jpg,,0,0,17_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
